service_id,service_name,price_dollars,price_cents
100001,Choco-Therapy,50,45
100002,Cacao Yoga Class,30,55
100003,Chocolate Detox,60,75
100004,Sweet Cravings Talk,25,30
100005,Choco Meditation,40,10
100006,Milk Choco Support,35,20
100007,Choco Counseling,45,50
100008,Dream Analysis,55,65
100009,Cocoa Bean Art,20,85
100010,Aversion Therapy,70,95
100012,Choco Memory Lane,15,15
100013,Choco-Free Party,75,25
100014,Chocolate History,10,40
100015,Cocoa Massage,85,33
100016,Choco Scent Therapy,60,22
100017,Support Group,50,11
100018,Choco-Free Cooking,80,44
100019,Life Skills,90,77
100020,Choco Humor Night,45,66
